YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2021-09,WEEKENDS/HOLIDAY,18,TRAIN,DT28,2201,2331
2021-09,WEEKDAY,12,TRAIN,DT34,2663,1969
2021-09,WEEKENDS/HOLIDAY,12,TRAIN,DT34,1165,702
2021-09,WEEKENDS/HOLIDAY,9,TRAIN,SW7,1028,373
2021-09,WEEKDAY,9,TRAIN,SW7,2848,1130
2021-09,WEEKDAY,12,TRAIN,NE17/PTC,26892,25412
2021-09,WEEKENDS/HOLIDAY,12,TRAIN,NE17/PTC,13021,11017
2021-09,WEEKDAY,19,TRAIN,NE8,20163,27835
2021-09,WEEKENDS/HOLIDAY,19,TRAIN,NE8,10111,10521
2021-09,WEEKDAY,21,TRAIN,CC24,11710,1562
2021-09,WEEKENDS/HOLIDAY,21,TRAIN,CC24,1879,690
2021-09,WEEKENDS/HOLIDAY,12,TRAIN,EW8/CC9,16057,18731
2021-09,WEEKDAY,12,TRAIN,EW8/CC9,24609,31882
2021-09,WEEKENDS/HOLIDAY,20,TRAIN,BP5,350,460
2021-09,WEEKDAY,20,TRAIN,BP5,1302,1442
2021-09,WEEKDAY,12,TRAIN,EW15,14911,17785
2021-09,WEEKENDS/HOLIDAY,12,TRAIN,EW15,4632,6753
2021-09,WEEKDAY,7,TRAIN,SW4,2990,1156
2021-09,WEEKENDS/HOLIDAY,7,TRAIN,SW4,272,168
2021-09,WEEKENDS/HOLIDAY,22,TRAIN,DT33,877,5189
2021-09,WEEKDAY,22,TRAIN,DT33,2511,13581
2021-09,WEEKDAY,11,TRAIN,EW24/NS1,24651,48154
2021-09,WEEKENDS/HOLIDAY,11,TRAIN,EW24/NS1,11856,23611
2021-09,WEEKENDS/HOLIDAY,21,TRAIN,EW25,1009,2378
2021-09,WEEKDAY,21,TRAIN,EW25,2422,7756
2021-09,WEEKDAY,16,TRAIN,CC2,2916,1772
2021-09,WEEKENDS/HOLIDAY,16,TRAIN,CC2,1002,872
2021-09,WEEKENDS/HOLIDAY,14,TRAIN,CC12,1070,1012
2021-09,WEEKDAY,14,TRAIN,CC12,10039,3393
2021-09,WEEKENDS/HOLIDAY,16,TRAIN,NS20,7459,5259
2021-09,WEEKDAY,16,TRAIN,NS20,39675,14830
2021-09,WEEKDAY,21,TRAIN,NS13,27494,45213
